a52dec 0.7.4-8
libxft 2.3.1-1
libxi 1.7.2-1
libxinerama 1.1.3-2
libxkbcommon 0.3.1-1
libxkbfile 1.0.8-1
libxklavier 5.3-1
libxml2 2.9.1-3
libxmu 1.1.2-1
libxpm 3.5.11-1
libxrandr 1.4.2-2
libxrender 0.9.8-1
libxres 1.0.7-1
libxslt 1.1.28-2
libxss 1.2.2-2
libxt 1.1.4-1
libxtst 1.2.2-1
libxv 1.0.10-1
libxxf86vm 1.1.3-1
libyaml 0.1.4-2
libzen 0.4.29-1
licenses 20130203-1
linux 3.11.6-1
linux-api-headers 3.10.6-1
linux-firmware 20131013.7d0c7a8-1
llvm-libs 3.3-1
lm_sensors 3.3.4-1
logrotate 3.8.7-1
lsb-release 1.4-13
lsof 4.87-2
lua 5.2.2-1
lua51 5.1.5-3
lua51-bitop 1.0.2-2
lua51-expat 1.2.0-4
lua51-socket 3.0rc1-3
lvm2 2.02.103-2
lxappearance 0.5.3-1
lxrandr 0.1.2-3
lzo2 2.06-1
m17n-db 1.6.4-1
m17n-lib 1.6.4-2
m4 1.4.17-1
make 4.0-1
man-db 2.6.5-1
man-pages 3.54-1
mc 4.8.10-2
mcpp 2.7.2-4
mdadm 3.3-1
mediainfo 0.7.64-1
meld 1.8.2-1
mercurial 2.7.2-1
mesa 9.2.2-1
mesa-libgl 9.2.2-1
mime-types 9-1
miniupnpc 1.8-2
mjpegtools 2.0.0-3
mkinitcpio 0.15.0-1
mkinitcpio-busybox 1.21.1-2
mlocate 0.26-1
mobile-broadband-provider-info 20120614-1
moc 1:2.5beta1-5
modemmanager 1.0.0-1
mousepad 0.3.0-2
mozilla-common 1.4-3
mpfr 3.1.2.p3-2
mtdev 1.1.4-1
mtools 4.0.18-1
mtpfs 1.1-1
musicbrainz 2.1.5-6
mutagen 1.22-1
nano 2.2.6-2
ncurses 5.9-6
neon 0.30.0-1
net-tools 1.60.20130531git-1
netctl 1.3-1
nethogs 0.8.0-2
nettle 2.7.1-1
network-manager-applet 0.9.8.4-2
networkmanager 0.9.8.8-1
networkmanager-pptp 0.9.8.4-1
nginx 1.4.3-1
nodejs 0.10.21-1
nspr 4.10.1-2
nss 3.15.2-1
ntop 5.0.1-4
ntp 4.2.6.p5-17
opencore-amr 0.1.3-1
openjpeg 1.5.1-1
openresolv 3.5.6-1
openssh 6.3p1-1
openssl 1.0.1.e-4
opus 1.0.3-2
orage 4.8.4-2
orc 0.4.18-1
osdbattery 1.4-5
p11-kit 0.20.1-1
p7zip 9.20.1-8
package-query 1.2-2
pacman 4.1.2-4
pacman-mirrorlist 20130830-1
pam 1.1.8-2
pambase 20130928-1
pango 1.36.0-1
pangomm 2.34.0-1
parted 3.1-2
patch 2.7.1-2
pciutils 3.2.0-3
pcmciautils 018-7
pcre 8.33-2
perl 5.18.1-1
perl-common-sense 3.72-1
perl-error 0.17021-1
perl-getopt-argvfile 1.11-6
perl-json-xs 2.34-1
perl-sgmls 1.03ii-4
perl-xml-parser 2.41-4
perl-xml-simple 2.20-1
pinentry 0.8.3-1
pixman 0.30.2-1
pkg-config 0.28-1
pm-quirks 0.20100619-3
pm-utils 1.4.1-6
polipo 1.0.4.1-10
polkit 0.112-1
poppler 0.24.2-1
poppler-glib 0.24.2-1
popt 1.16-7
ppp 2.4.5-8
pptpclient 1.7.2-5
procps-ng 3.3.8-3
projectm 2.1.0-8
protobuf 2.5.0-3
psmisc 22.20-1
pth 2.0.7-4
pv 1.4.12-1
pygobject2-devel 2.28.6-9
pygtk 2.24.0-3
python 3.3.2-2
python-dbus-common 1.2.0-1
python-docutils 0.11-1
python-jinja 2.7.1-2
python-markupsafe 0.18-2
python-pip 1.4.1-2
python-pygments 1.6-2
python-setuptools 1.1.6-1
python-sphinx 1.1.3-3
python-stevedore 0.12-1
python-virtualenv 1.10.1-1
python-virtualenv-clone 0.2.4-3
python-virtualenvwrapper 4.1.1-1
python2 2.7.5-2
python2-cairo 1.10.0-1
python2-chardet 2.0.1-6
python2-crypto 2.6-3
python2-dbus 1.2.0-1
python2-docutils 0.11-1
python2-gobject2 2.28.6-9
python2-jinja 2.7.1-2
python2-keybinder2 0.3.0-1
python2-markupsafe 0.18-2
python2-notify 0.1.1-12
python2-pip 1.4.1-2
python2-psutil 1.1.2-1
python2-pygments 1.6-2
python2-pyopenssl 0.13-2
python2-setuptools 1.1.6-1
python2-sphinx 1.1.3-3
python2-urwid 1.1.1-1
python2-virtualenv 1.10.1-1
python2-xdg 0.25-1
python2-zope-interface 4.0.5-2
qca 2.0.3-4
qca-ossl 2.0.0-6
qjson 0.8.1-2
qrencode 3.4.3-1
qt4 4.8.5-6
quvi 0.9.3.1-2
randrproto 1.4.0-1
raptor 2.0.10-3
raw-thumbnailer 0.2.1-1
readline 6.2.004-2
recode 3.6-8
recordproto 1.14.2-1
reiserfsprogs 3.6.24-1
renderproto 0.11.1-2
rfkill 0.5-1
ristretto 0.6.3-3
rrdtool 1.4.8-2
rsync 3.1.0-1
rtmpdump 20121230-3
run-parts 4.4-1
s-nail 14.4.5-1
samba 4.1.0-1
sbt 1:0.13.0-1
scala 2.10.0-1
scala-docs 2.10.0-1
schroedinger 1.0.11-2
screen 4.0.3-15
scrnsaverproto 1.2.2-1
sdl 1.2.15-4
sdl_image 1.2.12-3
sed 4.2.2-3
serf 1.3.1-2
sg3_utils 1.36-2
shadow 4.1.5.1-7
shared-color-profiles 0.1.5-1
shared-mime-info 1.2-1
skype 4.2.0.11-3
slang 2.2.4-3
sloccount 2.26-7
smartmontools 6.2-1
smbclient 4.1.0-1
soundtouch 1.7.1-1
source-highlight 3.1.7-6
speex 1.2rc1-4
sqlite 3.8.1-2
squid 3.3.9-2
startup-notification 0.12-4
stow 2.2.0-2
subversion 1.8.3-1
sudo 1.8.8-1
sysfsutils 2.1.0-8
syslinux 6.02-3
systemd 208-2
systemd-sysvcompat 208-2
sysvinit-tools 2.88-12
t1lib 5.1.2-4
taglib 1.9.1-1
talloc 2.0.8-2
tar 1.27-1
tcl 8.6.1-1
tcpdump 4.4.0-2
tdb 1.2.12-1
terminator 0.97-1
tevent 0.9.18-1
texinfo 5.2-1
thunar 1.6.3-1
thunar-archive-plugin 0.3.1-2
thunar-media-tags-plugin 0.2.1-1
thunar-volman 0.8.0-1
tig 1.2.1-1
tk 8.6.1-1
tmux 1.8-1
traceroute 2.0.19-2
tree 1.6.0-2
ttf-bitstream-vera 1.10-9
ttf-dejavu 2.34-1
ttf-droid 20121017-2
ttf-freefont 20120503-2
ttf-inconsolata 20090215-4
ttf-malayalam-fonts 5.0.1-1
ttf-symbola 7.12-1
ttf-ubuntu-font-family 0.80-4
tumbler 0.1.29-1
twisted 13.1.0-1
tzdata 2013h-1
udisks 1.0.4-8
udisks2 2.1.1-3
unarj 2.63a-3
unixodbc 2.3.2-1
unrar 1:5.0.12-1
unzip 6.0-6
upower 0.9.23-2
usb_modeswitch 2.0.1-1
usbmuxd 1.0.8-2
usbutils 007-1
util-linux 2.24-1
v4l-utils 1.0.0-2
vi 1:050325-3
videoproto 2.3.2-1
vile 9.8_i-1
vlc 2.1.0-5
vnstat 1.11-7
vsftpd 3.0.2-2
vte 0.28.2-3
vte-common 0.34.9-1
w3m 0.5.3-4
wavpack 4.70.0-1
wayland 1.3.0-1
wget 1.14-3
which 2.20-6
whois 5.0.26-1
wicd 1.7.2.4-9
wicd-gtk 1.7.2.4-9
wildmidi 0.2.3.5-2
wireless_tools 29-8
wpa_actiond 1.4-2
wpa_supplicant 2.0-4
wvdial 1.61-4
wvstreams 4.6.1-6
wxgtk 2.8.12.1-5
wxgtk2.9 2.9.5-1
x264 20130702-2
xbindkeys 1.8.5-4
xbitmaps 1.1.1-2
xcb-proto 1.8-2
xcb-util 0.3.9-1
xcb-util-image 0.3.9-1
xcb-util-keysyms 0.3.9-1
xcb-util-wm 0.3.9-1
xchat 2.8.8-13
xdg-utils 1.1.0.git20130520-1
xextproto 7.2.1-1
xf86-input-evdev 2.8.2-1
xf86-input-synaptics 1.7.1-1
xf86-video-ati 1:7.2.0-1
xf86vidmodeproto 2.3.1-2
xfburn 0.4.3-6
xfce4-appfinder 4.10.1-1
xfce4-artwork 0.1.1a_git20110420-2
xfce4-battery-plugin 1.0.5-1
xfce4-clipman-plugin 1.2.3-2
xfce4-cpufreq-plugin 1.1.0-1
xfce4-cpugraph-plugin 1.0.5-1
xfce4-datetime-plugin 0.6.2-1
xfce4-diskperf-plugin 2.5.4-1
xfce4-fsguard-plugin 1.0.1-1
xfce4-genmon-plugin 3.4.0-1
xfce4-mailwatch-plugin 1.2.0-1
xfce4-mixer 4.10.0-2
xfce4-mount-plugin 0.6.4-1
xfce4-mpc-plugin 0.4.4-1
xfce4-netload-plugin 1.2.0-1
xfce4-notes-plugin 1.7.7-4
xfce4-notifyd 0.2.4-1
xfce4-panel 4.10.1-1
xfce4-power-manager 1.2.0-6
xfce4-quicklauncher-plugin 1.9.4-7
xfce4-screenshooter 1.8.1-1
xfce4-sensors-plugin 1.2.5-1
xfce4-session 4.10.1-3
xfce4-settings 4.10.1-1
xfce4-smartbookmark-plugin 0.4.5-1
xfce4-systemload-plugin 1.1.1-1
xfce4-taskmanager 1.0.0-3
xfce4-time-out-plugin 1.0.1-2
xfce4-timer-plugin 1.0.0-1
xfce4-verve-plugin 1.0.0-3
xfce4-wavelan-plugin 0.5.11-1
xfce4-weather-plugin 0.8.3-3
xfce4-xkb-plugin 0.5.6-1
xfconf 4.10.0-3
xfdesktop 4.10.2-1
xfsprogs 3.1.11-1
xfwm4 4.10.1-1
xfwm4-themes 4.10.0-1
xineramaproto 1.2.1-2
xkeyboard-config 2.10.1-1
xkeycaps 2.46-6
xorg-bdftopcf 1.0.4-1
xorg-font-util 1.3.0-1
xorg-font-utils 7.6-3
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-3
xorg-fonts-misc 1.0.1-2
xorg-iceauth 1.0.6-1
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-1
xorg-mkfontscale 1.1.1-1
xorg-server 1.14.3-2
xorg-server-common 1.14.3-2
xorg-server-xvfb 1.14.3-2
xorg-setxkbmap 1.3.0-1
xorg-xauth 1.0.8-1
xorg-xinit 1.3.3-2
xorg-xinput 1.6.1-1
xorg-xkbcomp 1.2.4-1
xorg-xmessage 1.0.4-1
xorg-xmodmap 1.0.8-1
xorg-xrandr 1.4.1-1
xorg-xrdb 1.1.0-1
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-1
xosd 2.2.14-6
xplc 0.3.13-5
xproto 7.0.24-1
xsel 1.2.0-5
xterm 297-1
xvidcore 1.3.2-3
xz 5.0.5-2
yajl 2.0.4-2
yaourt 1.3-1
yaws 1.96-2
youtube-dl 2013.10.29-1
zip 3.0-3
zlib 1.2.8-3
zsh 5.0.2-4
zvbi 0.2.33-6
